Tempo [s];L-L0 [mm];Força [N];Epsilon;;;L0 [mm]
0,016667;0;0;0;;;50
0,28333;0,00095512;12,843;1,91024E-05;;;
0,48333;0,00095512;25,686;1,91024E-05;;;
0,78333;0,0019102;38,529;0,000038204;;;
1,1333;0,0023878;51,372;0,000047756;;;
1,5;0,0028654;64,215;0,000057308;;;
1,8333;0,0033429;77,059;0,000066858;;;
2,0167;0,0038205;89,902;0,00007641;;;
2,1833;0,0047756;102,74;0,000095512;;;
2,35;0,0052532;115,59;0,000105064;;;
2,4833;0,0057307;128,43;0,000114614;;;
2,6167;0,0066859;141,27;0,000133718;;;
2,7667;0,0066859;154,12;0,000133718;;;
2,9;0,007641;166,96;0,00015282;;;
3,0167;0,0081185;179,8;0,00016237;;;
3,15;0,0085961;192,65;0,000171922;;;
3,2833;0,0090737;205,49;0,000181474;;;
3,4167;0,010029;218,33;0,00020058;;;
3,5667;0,010506;231,18;0,00021012;;;
3,6833;0,010506;244,02;0,00021012;;;
3,8167;0,010984;256,86;0,00021968;;;
3,9333;0,011461;269,71;0,00022922;;;
4,0667;0,012417;282,55;0,00024834;;;
4,2;0,012894;295,39;0,00025788;;;
4,3333;0,013372;308,23;0,00026744;;;
4,4667;0,013849;321,08;0,00027698;;;
4,6;0,014327;333,92;0,00028654;;;
4,7167;0,014804;346,76;0,00029608;;;
4,85;0,015282;359,61;0,00030564;;;
4,9833;0,016237;372,45;0,00032474;;;
5,1;0,016715;385,29;0,0003343;;;
5,2333;0,017192;398,14;0,00034384;;;
5,3667;0,01767;410,98;0,0003534;;;
5,5167;0,018147;423,82;0,00036294;;;
5,6333;0,018625;436,67;0,0003725;;;
5,7833;0,019102;449,51;0,00038204;;;
5,9333;0,01958;462,35;0,0003916;;;
6,0833;0,020058;475,19;0,00040116;;;
6,2;0,020058;488,04;0,00040116;;;
6,3667;0,020535;500,88;0,0004107;;;
6,5167;0,021013;513,72;0,00042026;;;
6,65;0,02149;526,57;0,0004298;;;
6,8167;0,021968;539,41;0,00043936;;;
6,9667;0,021968;552,25;0,00043936;;;
7,1167;0,022445;565,1;0,0004489;;;
7,3;0,023401;577,94;0,00046802;;;
7,5;0,023401;590,78;0,00046802;;;
7,6667;0,023878;603,63;0,00047756;;;
7,85;0,023878;616,47;0,00047756;;;
8,05;0,024356;629,31;0,00048712;;;
8,2667;0,024833;642,15;0,00049666;;;
8,4833;0,025311;655;0,00050622;;;
8,7;0,025311;667,84;0,00050622;;;
8,9167;0,025788;680,68;0,00051576;;;
9,15;0,025788;693,53;0,00051576;;;
9,4167;0,026266;706,37;0,00052532;;;
9,6333;0,026266;719,21;0,00052532;;;
9,8667;0,026743;732,06;0,00053486;;;
10,117;0,027221;744,9;0,00054442;;;
10,367;0,027221;757,74;0,00054442;;;
10,65;0,027221;770,59;0,00054442;;;
10,95;0,027221;783,43;0,00054442;;;
11,2;0,028176;796,27;0,00056352;;;
11,5;0,028176;809,12;0,00056352;;;
11,783;0,028176;821,96;0,00056352;;;
12,083;0,027699;834,8;0,00055398;;;
12,417;0,028176;847,64;0,00056352;;;
12,733;0,028176;860,49;0,00056352;;;
13,05;0,028176;873,33;0,00056352;;;
13,433;0,028654;886,17;0,00057308;;;
13,817;0,028654;899,02;0,00057308;;;
14,2;0,028654;911,86;0,00057308;;;
14,55;0,028654;924,7;0,00057308;;;
14,983;0,028654;937,55;0,00057308;;;
15,333;0,028654;950,39;0,00057308;;;
15,75;0,028654;963,23;0,00057308;;;
16,15;0,028654;976,08;0,00057308;;;
16,567;0,028176;988,92;0,00056352;;;
17;0,028654;1001,8;0,00057308;;;
17,45;0,028654;1014,6;0,00057308;;;
17,95;0,028176;1024,2;0,00056352;;;
18,333;0,028176;1037,1;0,00056352;;;
18,817;0,028176;1049,9;0,00056352;;;
19,317;0,028176;1059,6;0,00056352;;;
19,75;0,028176;1072,4;0,00056352;;;
20,25;0,027699;1082;0,00055398;;;
20,75;0,027221;1091,7;0,00054442;;;
21,25;0,027221;1104,5;0,00054442;;;
21,75;0,027221;1110,9;0,00054442;;;
22,133;0,027221;1123,8;0,00054442;;;
22,633;0,027221;1133,4;0,00054442;;;
23,133;0,027221;1143;0,00054442;;;
23,633;0,026743;1152,7;0,00053486;;;
24,133;0,026743;1162,3;0,00053486;;;
24,517;0,026743;1175,1;0,00053486;;;
24,967;0,027221;1188;0,00054442;;;
25,417;0,027699;1200,8;0,00055398;;;
25,833;0,027699;1213,7;0,00055398;;;
26,283;0,027699;1226,5;0,00055398;;;
26,7;0,028176;1239,4;0,00056352;;;
27,1;0,028654;1252,2;0,00057308;;;
27,483;0,029131;1265;0,00058262;;;
27,817;0,029131;1277,9;0,00058262;;;
28,183;0,029609;1290,7;0,00059218;;;
28,55;0,030086;1303,6;0,00060172;;;
28,883;0,030564;1316,4;0,00061128;;;
29,25;0,031041;1329,3;0,00062082;;;
29,617;0,031041;1342,1;0,00062082;;;
29,967;0,031519;1354,9;0,00063038;;;
30,283;0,031997;1367,8;0,00063994;;;
30,6;0,032474;1380,6;0,00064948;;;
30,967;0,032952;1393,5;0,00065904;;;
31,317;0,033429;1406,3;0,00066858;;;
31,7;0,033907;1419,2;0,00067814;;;
32,017;0,034384;1432;0,00068768;;;
