d_nom;p;dr;dc
1.60;0.35;1.20;1.89
2.00;0.40;1.50;2.34
2.50;0.45;2.00;2.90
3.00;0.50;2.39;3.46
3.50;0.60;2.76;4.04
4.00;0.70;3.14;4.63
5.00;0.80;4.02;5.74
6.00;1.00;4.77;6.91
7.00;1.00;5.77;7.97
8.00;1.25;6.47;9.17
10.00;1.50;8.16;11.43
12.00;1.75;9.85;13.68
14.00;2.00;11.60;15.94
16.00;2.00;13.60;18.06
18.00;2.50;14.00;20.46
20.00;2.50;14.90;22.58
22.00;2.50;15.50;24.70
24.00;3.00;16.90;27.09
27.00;3.00;18.10;30.27
30.00;3.50;20.79;33.73
33.00;3.50;22.83;36.91
36.00;4.00;24.87;40.36
39.00;4.00;26.91;43.54
42.00;4.50;28.95;47.00
48.00;5.00;33.03;53.63
56.00;5.50;38.47;62.39
64.00;6.00;43.91;71.14
72.00;6.00;49.35;79.62
80.00;6.00;54.79;88.10
90.00;6.00;61.59;98.70
100.00;6.00;68.39;109.30
110.00;6.00;75.19;119.90
120.00;6.00;81.99;130.50
160.00;6.00;109.19;172.90
180.00;6.00;122.79;194.10
240.00;6.00;163.59;257.70
300.00;6.00;204.39;321.30
;;;
;;;
